Month,DHI,DNI,GHI,Solar Zenith Angle,Wind Speed,datetime,Angulo,azimuth,tracker_theta,Hour Sine,Hour Cosine
9,0,0,0,147.38,2.7,2019-09-25 22:30:00,15,224.05982083420216,0.0,-0.38268343236508956,0.9238795325112868
9,0,0,0,151.61,2.6,2019-09-25 23:00:00,15,211.82338984184,0.0,-0.2588190451025207,0.9659258262890683
9,0,0,0,154.43,2.5,2019-09-25 23:30:00,15,196.4460034881748,0.0,-0.13052619222005168,0.9914448613738104
9,0,0,0,155.35,2.5,2019-09-26 00:00:00,15,178.83851443351523,0.0,0.0,1.0
9,0,0,0,154.15,2.5,2019-09-26 00:30:00,15,161.4174542018734,0.0,0.13052619222005157,0.9914448613738104
9,0,0,0,151.1,2.5,2019-09-26 01:00:00,15,146.45414799008813,0.0,0.25881904510252074,0.9659258262890683
9,0,0,0,146.71,2.5,2019-09-26 01:30:00,15,134.63716551975085,0.0,0.3826834323650898,0.9238795325112867
9,0,0,0,141.43,2.6,2019-09-26 02:00:00,15,125.52437148953568,0.0,0.49999999999999994,0.8660254037844387
9,0,0,0,135.59,2.5,2019-09-26 02:30:00,15,118.40972950888488,0.0,0.6087614290087207,0.7933533402912352
9,0,0,0,129.38,2.4000000000000004,2019-09-26 03:00:00,15,112.69738524186045,0.0,0.7071067811865476,0.7071067811865476
9,0,0,0,122.93,2.4000000000000004,2019-09-26 03:30:00,15,107.95735727855708,0.0,0.7933533402912352,0.6087614290087207
9,0,0,0,116.31,2.4000000000000004,2019-09-26 04:00:00,15,103.89062157524688,0.0,0.8660254037844386,0.5000000000000001
9,0,0,0,109.58,2.3000000000000003,2019-09-26 04:30:00,15,100.28702221362296,0.0,0.9238795325112867,0.38268343236508984
9,0,0,0,102.78,2.3000000000000003,2019-09-26 05:00:00,15,96.99351187288488,0.0,0.9659258262890683,0.25881904510252074
9,0,0,0,95.93,2.3000000000000003,2019-09-26 05:30:00,15,93.89239571046296,0.0,0.9914448613738104,0.1305261922200517
9,1,0,1,88.73,2.4000000000000004,2019-09-26 06:00:00,15,90.88632456778032,-3.7146760467648647,1.0,6.123233995736766e-17
9,18,0,18,82.08,2.4000000000000004,2019-09-26 06:30:00,15,87.88715879854107,-24.123813377989507,0.9914448613738105,-0.13052619222005138
9,84,0,84,75.26,2.5,2019-09-26 07:00:00,15,84.80649161131953,-60.0,0.9659258262890683,-0.25881904510252085
